01Cyberaton Proenergy SA;01CYBATON;01C
11 bit studios SA;11BIT;11B
2C Partners SA;2CPARTNER;2CP
3R Games SA;3RGAMES;3RG
4Fun Media SA;4FUNMEDIA;4FM
4Mass SA;4MASS;4MS
4Mobility SA;4MOBILITY;4MB
7FIT SA;7FIT;7FT
7Levels SA;7LEVELS;7LV
AB SA;ABPL;ABE
Abak SA;ABAK;ABK
ABS Investment SA;ABSINVEST;AIN
AC SA;ACAUTOGAZ;ACG
Acartus SA;ACARTUS;ACA
Ackerman SA;ACKERMAN;ACK
Action SA;ACTION;ACT
Adatex Deweloper SA;ADATEX;ADX
Adiuvo Investments SA;ADIUVO;ADV
Advertigo SA;ADVERTIGO;AVE
Aforti Holding SA;AFHOL;AFH
Agencja Rozwoju Innowacji SA;ARI;ARI
Agora SA;AGORA;AGO
Agroliga Group PLC;AGROLIGA;AGL
Agromep SA;AGROMEP;AGP
Agroton Plc;AGROTON;AGT
Ailleron SA;AILLERON;ALL
Airway Medix SA;AIRWAY;AWM
Aiton Caldwell SA;AITON;AIT
Akcept Finance SA;AKCEPTFIN;AFC
Alda SA;ALDA;ALD
AlejaSamochodowa.pl SA;ALEJA;ALS
Alior Bank SA;ALIOR;ALR
All in! Games SA;AIGAMES;ALG
Allegro.eu SA;ALLEGRO;ALE
Alta SA;ALTA;AAT
Altus SA;ALTUSTFI;ALI
Alumast SA;ALUMAST;ALU
Alumetal SA;ALUMETAL;AML
Ambra SA;AMBRA;AMB
AMICA Wronki SA;AMICA;AMC
Ampli SA w upadłości układowej;AMPLI;APL
AmRest Holdings SE;AMREST;EAT
Analizy Online SA;ANALIZY;AOL
Angel Business Capital SA;MAKORA;MRA
Answear.com SA;ANSWEAR;ANR
Apanet SA;APANET;APA
Apator SA;APATOR;APT
Apis SA;APIS;ASA
Aplisens SA;APLISENS;APN
APN Promise SA;PROMISE;PRO
Apollo Capital ASI SA;APOLLO;APC
APS Energia SA;APSENERGY;APE
APS SA;APS;APS
AQT Water SA;AQUATECH;AQT
Aqua SA;AQUABB;AQU
Aqua SA;AQUAPOZ;AQA
Archicom SA;ARCHICOM;ARH
Arctic Paper SA;ARCTIC;ATC
Arena.pl SA;ARENAPL;ARE
Arrinera SA;ARRINERA;ARX
Art Games Studio SA;ARTGAMES;ARG
Arteria SA;ARTERIA;ARR
Artifex Mundi SA;ARTIFEX;ART
ArtP Capital SA;ARTP;TYP
Arts Alliance SA;AALLIANCE;AAS
ASBISc Enterprises PLC;ASBIS;ASB
ASM Group SA;ASMGROUP;ASM
Asseco BS SA;ASSECOBS;ABS
Asseco Poland SA;ASSECOPOL;ACP
Asseco South Eastern Europe SA;ASSECOSEE;ASE
Astarta Holding NV;ASTARTA;AST
